Attr_id,Chapter_id,Chapter_name,Table_id,Table_name,Description,Correlated_attrs
315.0,4,"Agriculture, Horticulture and Sericulture",4.16,Distribution of chemical fertilizers In Tonnes Year 2015-16,Total,312
315.0,4,"Agriculture, Horticulture and Sericulture",4.16,Distribution of chemical fertilizers In Tonnes Year 2015-16,Total,313
